Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Training Stress Score®,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Total Runs,Longest Run,Max Speed,Active Time,Total Run Distance,Avg Run Speed,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2024-06-09 13:05:49,false,"North Hertfordshire Running","15.82","1,005","01:29:43","138","177","3.6","147","179","5:40","3:45","127","130","1.18","8.1","9.7","297","48.9% L / 51.1% R","0.0","NaN","NaN","--","NaN","NaN","NaN","--","18.0","No","00:03:45.7","16","28.0","29","14","40","--","--","--","--","--","--","01:26:17","01:31:39","57","94"
Running,2024-06-08 17:51:28,false,"North Hertfordshire Running","5.28","343","00:27:18","144","161","2.9","156","171","5:10","4:13","59","64","1.23","7.9","9.7","298","48.9% L / 51.1% R","0.0","NaN","NaN","--","NaN","NaN","NaN","--","22.0","No","00:01:28.1","6","29.0","32","17","39","--","--","--","--","--","--","00:27:07","00:27:27","64","103"
Running,2024-06-07 12:39:48,false,"North Hertfordshire Running","8.05","537","00:39:28","156","173","3.7","159","183","4:54","3:56","94","102","1.27","7.9","10.1","286","49.0% L / 51.0% R","0.0","NaN","NaN","--","NaN","NaN","NaN","--","22.0","No","00:00:16.3","9","30.0","36","19","43","--","--","--","--","--","--","00:39:19","00:39:47","67","105"
Cardio,2024-06-07 10:17:43,false,"Cardio","0.00","76","00:09:14.2","117","140","0.6","--","--","--","--","--","--","NaN","NaN","NaN","NaN","--","0.0","NaN","NaN","--","NaN","NaN","NaN","--","28.0","No","00:09:14.2","1","30.0","--","--","--","--","--","--","--","--","--","00:00:00","00:09:14.2","--","--"
Strength Training,2024-06-05 12:54:14,false,"Strength","0.00","67","00:13:10","96","123","0.2","--","--","--","--","--","--","NaN","NaN","NaN","NaN","--","0.0","NaN","NaN","--","NaN","NaN","4","1","26.0","No","00:13:10","1","28.0","--","--","--","--","--","--","--","--","--","00:13:10","00:13:10","--","--"
Strength Training,2024-06-03 13:16:51,false,"Strength","0.00","81","00:14:43","100","123","0.3","--","--","--","--","--","--","NaN","NaN","NaN","NaN","--","0.0","NaN","NaN","--","NaN","NaN","5","1","28.0","No","00:14:43","1","30.0","--","--","--","--","--","--","--","--","--","00:14:43","00:14:43","--","--"
Running,2024-06-02 09:09:11,false,"North Hertfordshire Running","20.95","1,430","01:37:40","171","187","5.0","162","212","4:40","3:32","242","242","1.31","7.6","10.2","271","48.4% L / 51.6% R","0.0","NaN","NaN","--","NaN","NaN","NaN","--","20.0","No","00:04:10.7","21","30.0","38","20","44","--","--","--","--","--","--","01:37:26","01:37:40","68","155"
Running,2024-06-02 08:23:20,false,"North Hertfordshire Running","0.68","46","00:03:42.7","149","160","1.0","154","161","5:29","4:27","2","12","1.20","8.0","10.0","300","49.5% L / 50.5% R","0.0","NaN","NaN","--","NaN","NaN","NaN","--","24.0","No","00:03:42.7","1","28.0","31","25","36","--","--","--","--","--","--","00:03:42.7","00:03:42.7","66","77"
Running,2024-05-31 12:27:34,false,"North Hertfordshire Running","10.01","662","00:50:17","153","170","3.7","157","183","5:01","3:37","131","143","1.26","8.2","10.3","284","49.2% L / 50.8% R","0.0","NaN","NaN","--","NaN","NaN","NaN","--","17.0","No","00:00:03.1","11","29.0","35","19","44","--","--","--","--","--","--","00:50:06","00:50:34","63","157"
Running,2024-05-26 18:35:36,false,"North Hertfordshire Running","9.37","618","00:48:47","151","174","3.4","156","206","5:12","3:01","120","125","1.20","8.6","10.2","292","49.3% L / 50.7% R","0.0","NaN","NaN","--","NaN","NaN","NaN","--","20.0","No","00:01:52.3","10","28.0","34","15","44","--","--","--","--","--","--","00:48:28","00:51:42","65","154"
